user_id,age,gender,occupation,daily_screen_time_hours,phone_usage_before_sleep_minutes,sleep_duration_hours,sleep_quality_score,stress_level,caffeine_intake_cups,physical_activity_minutes,notifications_received_per_day,mental_fatigue_score
1,56.0,Female,Designer,3.26,86.0,,7.72,3.49,0.0,35.0,119.0,3.57
2,46.0,Female,Teacher,1.85,32.0,7.36,9.7,3.01,0.0,16.0,299.0,1.91
3,32.0,Female,Designer,3.04,107.0,4.5,6.38,5.03,0.0,17.0,21.0,6.05
4,25.0,Male,Software Engineer,9.0,36.0,6.68,5.53,10.0,0.0,3.0,220.0,9.92
5,38.0,Female,Teacher,3.52,56.0,7.57,6.69,6.71,4.0,92.0,167.0,5.99
6,56.0,Male,Teacher,7.26,10.0,7.79,6.16,10.0,2.0,50.0,198.0,
7,36.0,Female,Teacher,4.56,83.0,6.81,6.81,5.38,0.0,19.0,39.0,5.52
8,40.0,Male,Manager,3.36,89.0,6.5,8.75,3.48,2.0,66.0,127.0,4.5
9,28.0,Male,Student,2.3,109.0,7.57,8.05,3.46,3.0,103.0,99.0,2.52
10,28.0,Female,Manager,9.75,46.0,4.73,5.52,10.0,3.0,56.0,121.0,10.0
11,,Male,Designer,5.69,65.0,7.4,5.78,7.9,1.0,13.0,86.0,7.91
12,53.0,Female,Designer,2.03,88.0,8.6,5.79,5.23,0.0,91.0,294.0,3.37
13,57.0,Male,Designer,2.79,3.0,7.41,10.0,1.87,3.0,111.0,203.0,1.57
14,41.0,Male,Student,4.67,82.0,4.23,4.66,7.93,4.0,43.0,286.0,9.04
15,20.0,Male,Designer,5.9,76.0,6.53,5.36,8.09,4.0,105.0,104.0,8.29
16,39.0,Female,Manager,2.64,82.0,7.63,7.14,5.35,2.0,24.0,80.0,
17,19.0,Male,,3.5,76.0,4.22,8.25,4.36,4.0,63.0,206.0,4.57
18,41.0,Female,Manager,8.05,54.0,7.81,6.23,6.99,0.0,1.0,104.0,5.75
19,47.0,Male,Freelancer,4.76,11.0,5.41,6.82,7.48,3.0,37.0,131.0,
20,55.0,Male,Teacher,1.01,65.0,6.94,8.61,2.94,3.0,77.0,209.0,1.97
21,19.0,Male,Doctor,1.49,36.0,8.83,7.93,2.64,3.0,5.0,143.0,
22,38.0,Female,Freelancer,4.95,113.0,8.97,4.85,8.99,0.0,47.0,148.0,9.36
23,50.0,Female,Software Engineer,1.54,22.0,7.17,9.57,1.0,1.0,87.0,249.0,1.0
